id,funding_round_id,funded_object_id,investor_object_id,,
310,181,c:190,f:235,,
311,182,c:191,f:137,,
312,182,c:191,f:135,,
313,182,c:191,f:18,,
314,183,c:191,f:139,,
315,183,c:191,f:137,,
316,183,c:191,f:140,,
317,183,c:191,f:18,,
318,183,c:191,f:129,,
319,184,c:194,f:74,,
320,185,c:195,f:141,,
321,185,c:195,f:26,,
322,185,c:195,f:89,,
323,185,c:195,f:136,,
324,185,c:195,f:771,,
325,186,c:197,f:109,,
326,186,c:197,f:1,,
327,187,c:195,f:141,,
328,187,c:195,f:89,,
329,187,c:195,f:136,,
330,187,c:195,f:771,,
331,188,c:195,f:89,,
332,189,c:199,f:3276,,
333,189,c:199,f:1212,,
334,190,c:203,f:130,,
335,190,c:203,f:144,,
336,190,c:203,f:145,,
337,191,c:208,f:1,,
338,191,c:208,f:13,,
339,192,c:208,f:146,,
340,193,c:206,f:149,,
341,193,c:206,f:26,,
342,193,c:206,f:2,,
343,194,c:206,f:26,,
344,194,c:206,f:2,,
345,195,c:158,f:41,,
346,195,c:158,f:114,,
347,197,c:210,f:23,,
348,198,c:211,f:26,,
349,198,c:211,f:1047,,
350,198,c:211,f:242,,
351,198,c:211,f:379,,
352,199,c:211,f:26,,
353,199,c:211,f:6,,
354,199,c:211,f:1047,,
355,199,c:211,f:242,,
356,199,c:211,f:379,,
357,199,c:211,f:3181,,
358,201,c:220,f:94,,
359,201,c:220,f:3181,,
360,202,c:219,f:152,,
361,203,c:221,f:120,,
362,203,c:221,f:153,,
363,204,c:229,f:123,,
364,204,c:229,f:18,,
365,205,c:229,f:154,,
366,205,c:229,f:123,,
367,205,c:229,f:18,,
368,206,c:163,f:264,,
369,206,c:163,f:265,,
370,206,c:163,f:266,,
371,207,c:163,f:264,,
372,207,c:163,f:265,,
373,207,c:163,f:266,,
374,209,c:231,f:4,,
375,212,c:234,f:2,,
376,213,c:234,f:26,,
377,213,c:234,f:155,,
378,216,c:237,f:158,,
379,217,c:235,f:12,,
380,217,c:235,f:29,,
381,217,c:235,f:268,,
382,218,c:239,f:134,,
383,218,c:239,f:242,,
384,220,c:243,f:116,,
385,222,c:245,f:61,,
386,224,c:246,f:165,,
387,224,c:246,f:29,,
388,224,c:246,f:507,,
389,226,c:126,f:166,,
390,227,c:126,f:166,,
391,228,c:247,f:168,,
392,229,c:249,f:139,,
393,229,c:249,f:45,,
394,230,c:253,f:169,,
395,230,c:253,f:1996,,
396,230,c:253,f:1997,,
397,232,c:266,f:174,,
398,232,c:266,f:80,,
399,233,c:266,f:116,,
400,234,c:270,f:175,,
401,236,c:270,f:176,,
402,236,c:270,f:175,,
403,237,c:271,f:177,,
404,238,c:264,f:123,,
405,238,c:264,f:507,,
406,239,c:277,f:178,,
407,240,c:280,f:48,,
408,241,c:251,f:26,,
409,241,c:251,f:61,,
410,241,c:251,f:242,,
411,242,c:282,f:179,,
412,242,c:282,f:180,,
413,243,c:281,f:187,,
414,243,c:281,f:188,,
415,243,c:281,f:186,,
416,244,c:357,f:208,,
417,246,c:196,f:183,,
418,246,c:196,f:41,,
419,246,c:196,f:134,,
420,247,c:196,f:183,,
421,247,c:196,f:41,,
422,247,c:196,f:134,,
423,248,c:289,f:184,,
424,248,c:289,f:375,,
425,248,c:289,f:13,,
426,249,c:287,f:189,,
427,249,c:287,f:18,,
428,252,c:301,f:190,,
429,253,c:300,f:192,,
430,253,c:300,f:191,,
431,254,c:300,f:192,,
432,254,c:300,f:191,,
433,255,c:303,f:262,,
434,255,c:303,f:1132,,
435,256,c:305,f:192,,
436,256,c:305,f:191,,
437,261,c:12,f:7,,
438,261,c:12,f:45,,
439,261,c:12,f:3181,,
440,262,c:301,f:190,,
441,262,c:301,f:1262,,
442,262,c:301,f:69,,
443,263,c:316,f:42,,
444,263,c:316,f:29,,
445,263,c:316,f:2,,
446,263,c:316,f:4379,,
447,263,c:316,f:3181,,
448,264,c:315,f:48,,
449,264,c:315,f:18,,
450,264,c:315,f:105,,
451,267,c:319,f:200,,
452,268,c:319,f:7,,
453,270,c:322,f:201,,
454,270,c:322,f:367,,
455,272,c:320,f:204,,
456,272,c:320,f:86,,
457,273,c:320,f:204,,
458,275,c:330,f:205,,
459,275,c:330,f:206,,
460,275,c:330,f:13,,
461,275,c:330,f:207,,
462,275,c:330,f:1216,,
463,276,c:326,f:11,,
464,276,c:326,f:147,,
465,276,c:326,f:204,,
466,276,c:326,f:109,,
467,277,c:327,f:210,,
468,277,c:327,f:30,,
469,278,c:302,f:213,,
470,278,c:302,f:212,,
471,278,c:302,f:89,,
472,279,c:302,f:213,,
473,279,c:302,f:212,,
474,279,c:302,f:89,,
475,279,c:302,f:3,,
476,280,c:302,f:139,,
477,280,c:302,f:213,,
478,280,c:302,f:211,,
479,280,c:302,f:212,,
480,280,c:302,f:89,,
481,280,c:302,f:155,,
482,280,c:302,f:3,,
483,284,c:333,f:1276,,
484,284,c:333,f:2837,,
485,284,c:333,f:6689,,
486,284,c:333,f:2223,,
487,285,c:334,f:134,,
488,286,c:335,f:48,,
489,286,c:335,f:1,,
490,287,c:336,f:214,,
491,287,c:336,f:3181,,
492,288,c:336,f:215,,
493,289,c:327,f:30,,
494,290,c:325,f:4,,
495,290,c:325,f:507,,
496,291,c:325,f:1287,,
497,292,c:344,f:216,,
498,292,c:344,f:131,,
499,292,c:344,f:218,,
500,292,c:344,f:219,,
501,292,c:344,f:220,,
502,292,c:344,f:217,,
503,292,c:344,f:221,,
504,292,c:344,f:222,,
505,294,c:325,f:205,,
506,294,c:325,f:224,,
507,294,c:325,f:225,,
508,294,c:325,f:235,,
509,294,c:325,f:4,,
510,294,c:325,f:139,,
511,294,c:325,f:3800,,
512,294,c:325,f:507,,
513,294,c:325,f:1287,,
514,295,c:325,f:223,,
515,297,c:353,f:226,,
516,297,c:353,f:62,,
517,298,c:353,f:25,,
518,299,c:354,f:61,,
519,300,c:354,f:236,,
520,300,c:354,f:237,,
521,300,c:354,f:61,,
522,300,c:354,f:235,,
523,305,c:348,f:17,,
524,305,c:348,f:214,,
525,305,c:348,f:231,,
526,306,c:371,f:234,,
527,308,c:361,f:1635,,
528,309,c:381,f:233,,
529,310,c:383,f:48,,
530,310,c:383,f:13,,
531,311,c:383,f:48,,
532,311,c:383,f:13,,
533,311,c:383,f:262,,
534,312,c:386,f:234,,
535,313,c:385,f:18,,
536,314,c:385,f:18,,
537,314,c:385,f:3181,,
538,315,c:365,f:10,,
539,315,c:365,f:230,,
540,315,c:365,f:588,,
541,315,c:365,f:367,,
542,315,c:365,f:319,,
543,317,c:370,f:181,,
544,317,c:370,f:690,,
545,318,c:192,f:172,,
546,319,c:192,f:172,,
547,320,c:263,f:71,,
548,321,c:390,f:238,,
549,322,c:391,f:7,,
550,322,c:391,f:239,,
551,322,c:391,f:240,,
552,323,c:36,f:17,,
553,324,c:36,f:17,,
554,324,c:36,f:2854,,
555,325,c:398,f:241,,
556,326,c:402,f:42,,
557,326,c:402,f:26,,
558,326,c:402,f:242,,
559,327,c:402,f:42,,
560,327,c:402,f:26,,
561,327,c:402,f:242,,
